id,provincia,categoria,score
26,Esmeraldas,Comfort,8.5
26,Esmeraldas,Value for money,8.6
26,Esmeraldas,Location,9.1
26,Esmeraldas,Free WiFi,7.5
27,Esmeraldas,Staff,9.4
27,Esmeraldas,Facilities,8.9
27,Esmeraldas,Cleanliness,9.2
27,Esmeraldas,Comfort,9.1
27,Esmeraldas,Value for money,8.6
27,Esmeraldas,Location,9.5
27,Esmeraldas,Free WiFi,7.9
28,Esmeraldas,Staff,9.2
28,Esmeraldas,Facilities,8.5
28,Esmeraldas,Cleanliness,8.9
28,Esmeraldas,Comfort,8.7
28,Esmeraldas,Value for money,8.6
28,Esmeraldas,Location,9.4
28,Esmeraldas,Free WiFi,8.5
29,Esmeraldas,Staff,9.0
29,Esmeraldas,Facilities,9.2
29,Esmeraldas,Cleanliness,9.3
29,Esmeraldas,Comfort,9.3
29,Esmeraldas,Value for money,8.9
29,Esmeraldas,Location,9.4
29,Esmeraldas,Free WiFi,7.9
30,Esmeraldas,Staff,8.9
30,Esmeraldas,Facilities,9.1
30,Esmeraldas,Cleanliness,9.3
30,Esmeraldas,Comfort,9.3
30,Esmeraldas,Value for money,9.0
30,Esmeraldas,Location,8.6
31,Esmeraldas,Staff,8.7
31,Esmeraldas,Facilities,8.7
31,Esmeraldas,Cleanliness,8.8
31,Esmeraldas,Comfort,9.0
31,Esmeraldas,Value for money,8.2
31,Esmeraldas,Location,7.9
31,Esmeraldas,Free WiFi,7.5
32,Esmeraldas,Staff,9.5
32,Esmeraldas,Facilities,8.8
32,Esmeraldas,Cleanliness,8.9
32,Esmeraldas,Comfort,9.2
32,Esmeraldas,Value for money,9.1
32,Esmeraldas,Location,8.9
32,Esmeraldas,Free WiFi,6.4
33,Esmeraldas,Staff,9.2
33,Esmeraldas,Facilities,8.6
33,Esmeraldas,Cleanliness,9.0
33,Esmeraldas,Comfort,8.8
33,Esmeraldas,Value for money,8.5
33,Esmeraldas,Location,7.9
33,Esmeraldas,Free WiFi,7.2
34,Esmeraldas,Staff,9.3
34,Esmeraldas,Facilities,9.4
34,Esmeraldas,Cleanliness,9.4
34,Esmeraldas,Comfort,9.5
34,Esmeraldas,Value for money,9.2
34,Esmeraldas,Location,9.8
35,Esmeraldas,Staff,8.7
35,Esmeraldas,Facilities,8.7
35,Esmeraldas,Cleanliness,8.9
35,Esmeraldas,Comfort,8.9
35,Esmeraldas,Value for money,8.5
35,Esmeraldas,Location,8.6
35,Esmeraldas,Free WiFi,7.5
36,Esmeraldas,Staff,9.2
36,Esmeraldas,Facilities,8.5
36,Esmeraldas,Cleanliness,8.9
36,Esmeraldas,Comfort,8.9
36,Esmeraldas,Value for money,8.7
36,Esmeraldas,Location,9.5
36,Esmeraldas,Free WiFi,8.2
37,Esmeraldas,Staff,8.8
37,Esmeraldas,Facilities,7.9
37,Esmeraldas,Cleanliness,8.7
37,Esmeraldas,Comfort,8.4
37,Esmeraldas,Value for money,7.3
37,Esmeraldas,Location,8.6
38,Esmeraldas,Staff,9.2
38,Esmeraldas,Facilities,9.1
38,Esmeraldas,Cleanliness,9.5
38,Esmeraldas,Comfort,9.5
38,Esmeraldas,Value for money,8.9
38,Esmeraldas,Location,9.2
38,Esmeraldas,Free WiFi,10
39,Esmeraldas,Staff,9.2
39,Esmeraldas,Facilities,8.6
39,Esmeraldas,Cleanliness,8.9
39,Esmeraldas,Comfort,9.0
39,Esmeraldas,Value for money,8.7
39,Esmeraldas,Location,9.6
39,Esmeraldas,Free WiFi,7.5
40,Esmeraldas,Staff,9.3
40,Esmeraldas,Facilities,8.8
40,Esmeraldas,Cleanliness,9.3
40,Esmeraldas,Comfort,8.9
40,Esmeraldas,Value for money,8.8
40,Esmeraldas,Location,8.7
40,Esmeraldas,Free WiFi,6.3
41,Esmeraldas,Staff,8.7
41,Esmeraldas,Facilities,8.4
41,Esmeraldas,Cleanliness,9.0
41,Esmeraldas,Comfort,9.0
41,Esmeraldas,Value for money,8.0
41,Esmeraldas,Location,9.0
41,Esmeraldas,Free WiFi,7.2
42,Esmeraldas,Staff,9.2
42,Esmeraldas,Facilities,8.6
42,Esmeraldas,Cleanliness,9.1
42,Esmeraldas,Comfort,9.0
42,Esmeraldas,Value for money,8.7
42,Esmeraldas,Location,9.1
42,Esmeraldas,Free WiFi,7.2
43,Esmeraldas,Staff,10
43,Esmeraldas,Facilities,9.4
43,Esmeraldas,Cleanliness,10
43,Esmeraldas,Comfort,10
43,Esmeraldas,Value for money,9.7
43,Esmeraldas,Location,10
44,Esmeraldas,Staff,8.4
44,Esmeraldas,Facilities,8.2
44,Esmeraldas,Cleanliness,8.6
44,Esmeraldas,Comfort,8.6
44,Esmeraldas,Value for money,8.1
44,Esmeraldas,Location,9.3
44,Esmeraldas,Free WiFi,9.2
45,Esmeraldas,"",""
46,Esmeraldas,Staff,8.9
46,Esmeraldas,Facilities,8.6
46,Esmeraldas,Cleanliness,8.8
46,Esmeraldas,Comfort,8.6
46,Esmeraldas,Value for money,8.3
46,Esmeraldas,Location,9.4
46,Esmeraldas,Free WiFi,8.8
47,Esmeraldas,Staff,9.2
47,Esmeraldas,Facilities,8.9
47,Esmeraldas,Cleanliness,9.3
47,Esmeraldas,Comfort,9.1
47,Esmeraldas,Value for money,8.7
47,Esmeraldas,Location,8.9
47,Esmeraldas,Free WiFi,7.5
48,Esmeraldas,Staff,8.6
48,Esmeraldas,Facilities,8.9
48,Esmeraldas,Cleanliness,8.9
48,Esmeraldas,Comfort,8.9
48,Esmeraldas,Value for money,8.9
48,Esmeraldas,Location,6.7
49,Esmeraldas,Staff,9.2
49,Esmeraldas,Facilities,8.8
49,Esmeraldas,Cleanliness,8.9
49,Esmeraldas,Comfort,8.8
49,Esmeraldas,Value for money,8.8
49,Esmeraldas,Location,8.0
49,Esmeraldas,Free WiFi,10
50,Esmeraldas,Staff,8.7
50,Esmeraldas,Facilities,8.7
50,Esmeraldas,Cleanliness,8.6
50,Esmeraldas,Comfort,8.8
50,Esmeraldas,Value for money,8.1
50,Esmeraldas,Location,9.0
50,Esmeraldas,Free WiFi,5.2
