id;hotel;precio;puntaje;link_hotel;provincia
11;Cabañas Ecologicas Cayapas;100;8.9;https://www.booking.com/hotel/ec/hosteria-cayapas.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=157901207_176492114_5_0_0&highlighted_blocks=157901207_176492114_5_0_0&matching_block_id=157901207_176492114_5_0_0&sr_pri_blocks=157901207_176492114_5_0_0__10000&from=searchresults&map_fdco=1#hotelTmpl;Esmeraldas
12;Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro;187;7.5;https://www.booking.com/hotel/ec/resort-playa-almendro-tonsupa-4-habitaciones.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=752831301_361584087_5_0_0&highlighted_blocks=752831301_361584087_5_0_0&matching_block_id=752831301_361584087_5_0_0&sr_pri_blocks=752831301_361584087_5_0_0__18720&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl;Esmeraldas
13;Resort Playa Azul Tonsupa Departamento de 2 Habitaciones;258;9.1;https://www.booking.com/hotel/ec/playa-azul-resort-tonsupa-atacames.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=687622501_365747132_3_0_0&highlighted_blocks=687622501_365747132_3_0_0&matching_block_id=687622501_365747132_3_0_0&sr_pri_blocks=687622501_365747132_3_0_0__25800&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl;Esmeraldas
14;Tonsupa Diamond Beach Apart - Hotel;272;8.7;https://www.booking.com/hotel/ec/tonsupa-diamond-beach-apart.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=305173001_113334619_2_0_0&highlighted_blocks=305173001_113334619_2_0_0&matching_block_id=305173001_113334619_2_0_0&sr_pri_blocks=305173001_113334619_2_0_0__27200&from=searchresults&map_fdco=1#hotelTmpl;Esmeraldas
15;Aparthotel Oleaje;79;8.9;https://www.booking.com/hotel/ec/cabanas-oleaje.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=430162108_295543359_2_2_0&highlighted_blocks=430162108_295543359_2_2_0&matching_block_id=430162108_295543359_2_2_0&sr_pri_blocks=430162108_295543359_2_2_0__7920&from=searchresults&map_fdco=1#hotelTmpl;Esmeraldas
16;Hotel Makana Resort;230;8.4;https://www.booking.com/hotel/ec/makana.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=88779602_193658734_2_1_0&highlighted_blocks=88779602_193658734_2_1_0&matching_block_id=88779602_193658734_2_1_0&sr_pri_blocks=88779602_193658734_2_1_0__23000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl;Esmeraldas
17;La Bocana;68;8.7;https://www.booking.com/hotel/ec/la-bocana.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=305038101_288369263_2_0_0&highlighted_blocks=305038101_288369263_2_0_0&matching_block_id=305038101_288369263_2_0_0&sr_pri_blocks=305038101_288369263_2_0_0__6800&from=searchresults&map_fdco=1#hotelTmpl;Esmeraldas
18;Departamentos frente al mar Resort Playa Azul;228;9.6;https://www.booking.com/hotel/ec/suite-1802b-resort-playa-azul.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=496852902_358161557_3_0_0&highlighted_blocks=496852902_358161557_3_0_0&matching_block_id=496852902_358161557_3_0_0&sr_pri_blocks=496852902_358161557_3_0_0__22800&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl;Esmeraldas
19;Suite Makana #403;150;8.6;https://www.booking.com/hotel/ec/suite-makana-resort-403.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=198782701_334448564_4_0_0&highlighted_blocks=198782701_334448564_4_0_0&matching_block_id=198782701_334448564_4_0_0&sr_pri_blocks=198782701_334448564_4_0_0__15040&from=searchresults&map_fdco=1#hotelTmpl;Esmeraldas
21;Caramba Hospedaje;108;8.6;https://www.booking.com/hotel/ec/caramba-hospedaje.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=731985901_341786475_0_41_0&highlighted_blocks=731985901_341786475_0_41_0&matching_block_id=731985901_341786475_0_41_0&sr_pri_blocks=731985901_341786475_0_41_0__10800&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl;Esmeraldas
